,lon,lat,address,ZIP
1,-86.1853474,39.8878841,"indianapolis, in 46260, usa",46260
2,-85.8690933,41.2270429,"warsaw, in 46580, usa",46580
3,-85.7461548,40.1287659,"anderson, in 46011, usa",46011
4,-85.8281458,40.782433,"wabash, in 46992, usa",46992
5,-86.6006249,39.0841668,"bloomington, in 47403, usa",47403
6,-85.7871663,39.5137401,"shelbyville, in 46176, usa",46176
7,-86.0835415,39.5963318,"greenwood, in 46143, usa",46143
8,-86.1039189,39.8029885,"indianapolis, in 46218, usa",46218
9,-85.3859519,40.2681398,"muncie, in 47303, usa",47303
10,-86.0529604,40.770099,"peru, in 46970, usa",46970
11,-86.2514126,39.7924104,"indianapolis, in 46224, usa",46224
12,-87.5198011,38.605823,"vincennes, in 47591, usa",47591
13,-85.8690933,41.2270429,"warsaw, in 46580, usa",46580
14,-85.4788065,39.6053598,"rushville, in 46173, usa",46173
15,-85.4974177,40.8830771,"huntington, in 46750, usa",46750
16,-84.8776392,39.1460289,"lawrenceburg, in 47025, usa",47025
17,-86.7013894,41.5939193,"la porte, in 46350, usa",46350
18,-86.1039189,40.4370815,"kokomo, in 46902, usa",46902
19,-85.7461548,40.1287659,"anderson, in 46011, usa",46011
20,-85.8690933,38.2651542,"new albany, in 47150, usa",47150
21,-86.0886366,39.7150218,"beech grove, in 46107, usa",46107
22,-86.3782198,41.3443814,"plymouth, in 46563, usa",46563
23,-86.0427626,39.7803581,"indianapolis, in 46219, usa",46219
24,-86.2514126,39.7924104,"indianapolis, in 46224, usa",46224
25,-85.9815339,41.7204299,"elkhart, in 46514, usa",46514
26,-85.3702359,39.9289601,"new castle, in 47362, usa",47362
27,-87.5593613,38.3544747,"princeton, in 47670, usa",47670
28,-86.8772298,40.4350547,"lafayette, in 47904, usa",47904
29,-85.1220031,41.1024994,"fort wayne, in 46805, usa",46805
30,-86.4794359,38.8721597,"bedford, in 47421, usa",47421
31,-86.3782198,41.3443814,"plymouth, in 46563, usa",46563
32,-86.2767995,41.6009257,"south bend, in 46614, usa",46614
33,-87.5741877,38.0223462,"evansville, in 47710, usa",47710
34,-85.9508923,40.0542448,"noblesville, in 46060, usa",46060
35,-86.1548269,41.6367762,"mishawaka, in 46544, usa",46544
36,-86.231094,41.6841001,"south bend, in 46617, usa",46617
37,-85.3756249,41.6479501,"lagrange, in 46761, usa",46761
38,-85.7256372,39.7794206,"greenfield, in 46140, usa",46140
39,-86.8772298,40.4350547,"lafayette, in 47904, usa",47904
40,-87.4405786,39.685614,"clinton, in 47842, usa",47842
41,-86.6409554,38.5000324,"french lick, in 47432, usa",47432
42,-85.4788065,41.1521887,"columbia city, in 46725, usa",46725
43,-87.5099057,41.5443613,"munster, in 46321, usa",46321
44,-86.5602614,39.7453574,"danville, in 46122, usa",46122
45,-85.971322,39.1265636,"columbus, in 47201, usa",47201
46,-86.4794359,38.8721597,"bedford, in 47421, usa",47421
47,-86.7013894,41.5939193,"la porte, in 46350, usa",46350
48,-86.9624086,41.4613036,"valparaiso, in 46383, usa",46383
49,-86.1242881,39.7419493,"indianapolis, in 46203, usa",46203
50,-86.1548269,40.50995,"kokomo, in 46901, usa",46901
51,-87.3959564,39.4935989,"terre haute, in 47804, usa",47804
52,-87.1727704,38.6591849,"washington, in 47501, usa",47501
53,-87.5741877,38.0223462,"evansville, in 47710, usa",47710
54,-86.1853474,39.8878841,"indianapolis, in 46260, usa",46260
55,-85.4788065,41.1521887,"columbia city, in 46725, usa",46725
56,-86.761749,40.7718746,"monticello, in 47960, usa",47960
57,-86.2463337,41.729365,"south bend, in 46637, usa",46637
58,-86.1853474,39.8878841,"indianapolis, in 46260, usa",46260
59,-86.8822445,41.6985831,"michigan city, in 46360, usa",46360
60,-84.8984775,39.8282551,"richmond, in 47374, usa",47374
61,-86.9624086,41.4613036,"valparaiso, in 46383, usa",46383
62,-85.1220031,41.1024994,"fort wayne, in 46805, usa",46805
63,-85.3702359,39.9289601,"new castle, in 47362, usa",47362
64,-85.8281458,40.782433,"wabash, in 46992, usa",46992
65,-85.7717907,38.3090632,"clarksville, in 47129, usa",47129
66,-86.9624086,41.4613036,"valparaiso, in 46383, usa",46383
67,-85.9611082,39.9008411,"indianapolis, in 46236, usa",46236
68,-85.4581859,40.2403959,"muncie, in 47304, usa",47304
69,-86.0325629,39.4810288,"franklin, in 46131, usa",46131
70,-85.6229296,40.6128584,"marion, in 46952, usa",46952
71,-85.1220031,41.1024994,"fort wayne, in 46805, usa",46805
72,-86.9624086,40.4932743,"west lafayette, in 47906, usa",47906
73,-86.1446493,41.6862153,"mishawaka, in 46545, usa",46545
74,-86.1650024,39.9693,"carmel, in 46032, usa",46032
75,-86.4592091,39.3913252,"martinsville, in 46151, usa",46151
76,-87.1722037,41.596455,"portage, in 46368, usa",46368
77,-85.7256372,39.7794206,"greenfield, in 46140, usa",46140
78,-85.7717907,38.3090632,"clarksville, in 47129, usa",47129
79,-86.1650024,39.6196709,"greenwood, in 46142, usa",46142
80,-86.0835415,39.6788037,"indianapolis, in 46237, usa",46237
81,-86.2767995,41.6009257,"south bend, in 46614, usa",46614
82,-86.1853474,39.8878841,"indianapolis, in 46260, usa",46260
83,-86.1955169,40.0215499,"westfield, in 46074, usa",46074
84,-85.4891138,40.4554483,"upland, in 46989, usa",46989
85,-86.9423801,39.6529824,"greencastle, in 46135, usa",46135
86,-85.6948458,38.3325704,"jeffersonville, in 47130, usa",47130
87,-85.84,41.59,"goshen, in 46527, usa",46527
88,-86.3984793,39.8638689,"brownsburg, in 46112, usa",46112
89,-84.9609464,41.0704536,"new haven, in 46774, usa",46774
90,-85.4684971,38.6597559,"hanover, in 47243, usa",47243
91,-85.3756249,38.8337651,"madison, in 47250, usa",47250
92,-85.4788065,39.3574436,"greensburg, in 47240, usa",47240
93,-86.4592091,40.0503732,"lebanon, in 46052, usa",46052
94,-87.3214908,41.3901576,"crown point, in 46307, usa",46307
95,-86.3883506,39.6886583,"plainfield, in 46168, usa",46168
96,-86.9624086,38.2984599,"huntingburg, in 47542, usa",47542
97,-87.5099057,41.484416,"dyer, in 46311, usa",46311
98,-86.2107672,41.7132821,"south bend, in 46635, usa",46635
99,-87.5099057,41.484416,"dyer, in 46311, usa",46311
100,-87.4009165,39.3539395,"terre haute, in 47802, usa",47802
101,-86.1039189,40.4370815,"kokomo, in 46902, usa",46902
102,-87.4009165,40.1366826,"covington, in 47932, usa",47932
103,-87.5741877,38.0223462,"evansville, in 47710, usa",47710
104,-86.1700894,39.7794767,"indianapolis, in 46202, usa",46202
105,-84.8984775,39.8282551,"richmond, in 47374, usa",47374
106,-85.4581859,40.2403959,"muncie, in 47304, usa",47304
107,-84.8984775,39.8282551,"richmond, in 47374, usa",47374
108,-84.981754,40.1595181,"winchester, in 47394, usa",47394
109,-85.5920787,40.4797391,"gas city, in 46933, usa",46933
110,-85.2308414,39.2647126,"batesville, in 47006, usa",47006
111,-87.4009165,39.3539395,"terre haute, in 47802, usa",47802
112,-86.3782198,40.7807397,"logansport, in 46947, usa",46947
113,-86.4086061,39.7716518,"avon, in 46123, usa",46123
114,-86.1242881,39.6801674,"indianapolis, in 46227, usa",46227
115,-85.5303235,40.192169,"yorktown, in 47396, usa",47396
116,-87.0824045,38.972191,"lyons, in 47443, usa",47443
117,-86.1242881,39.6801674,"indianapolis, in 46227, usa",46227
118,-85.3859519,40.2681398,"muncie, in 47303, usa",47303
119,-86.761749,40.4064351,"lafayette, in 47905, usa",47905
120,-86.0223611,39.9029533,"indianapolis, in 46256, usa",46256
121,-87.0424393,41.6231139,"chesterton, in 46304, usa",46304
122,-86.1242881,39.6801674,"indianapolis, in 46227, usa",46227
123,-87.5544182,37.9584319,"evansville, in 47713, usa",47713
124,-85.0545197,41.1046501,"fort wayne, in 46815, usa",46815
125,-87.2419299,41.5083014,"hobart, in 46342, usa",46342
126,-87.3612205,37.9701535,"newburgh, in 47630, usa",47630
127,-86.4794359,39.2053078,"bloomington, in 47408, usa",47408
128,-85.7256372,39.7794206,"greenfield, in 46140, usa",46140
129,-85.1220031,41.1024994,"fort wayne, in 46805, usa",46805
130,-85.6948458,40.096197,"anderson, in 46016, usa",46016
131,-86.9223432,40.0430746,"crawfordsville, in 47933, usa",47933
132,-87.4207518,39.0843122,"sullivan, in 47882, usa",47882
133,-86.9223432,38.6755182,"loogootee, in 47553, usa",47553
134,-84.8984775,39.8282551,"richmond, in 47374, usa",47374
135,-85.7717907,38.3090632,"clarksville, in 47129, usa",47129
136,-85.1220031,41.1024994,"fort wayne, in 46805, usa",46805
137,-85.8281458,38.683571,"scottsburg, in 47170, usa",47170
138,-85.9815339,41.7204299,"elkhart, in 46514, usa",46514
139,-87.0024407,38.1729722,"dale, in 47523, usa",47523
140,-86.0223611,39.9029533,"indianapolis, in 46256, usa",46256
141,-86.0631561,39.904342,"indianapolis, in 46250, usa",46250
142,-87.3612205,37.9701535,"newburgh, in 47630, usa",47630
143,-87.0824045,37.8788523,"rockport, in 47635, usa",47635
144,-87.5593613,38.3544747,"princeton, in 47670, usa",47670
145,-86.9624086,41.4613036,"valparaiso, in 46383, usa",46383
146,-86.438974,39.0793558,"bloomington, in 47401, usa",47401
147,-85.0856761,38.9886773,"dillsboro, in 47018, usa",47018
148,-86.93,38.39,"jasper, in 47547, usa",47547
149,-86.6207943,41.2715616,"knox, in 46534, usa",46534
150,-85.5817911,41.4566387,"ligonier, in 46767, usa",46767
151,-87.1023746,40.9627687,"rensselaer, in 47978, usa",47978
152,-85.7051116,40.5347721,"marion, in 46953, usa",46953
153,-86.6409554,40.6063002,"delphi, in 46923, usa",46923
154,-86.2869507,39.7884076,"indianapolis, in 46214, usa",46214
155,-86.1039189,39.8646455,"indianapolis, in 46220, usa",46220
156,-86.1242881,39.9063963,"indianapolis, in 46240, usa",46240
157,-86.5400674,40.2981184,"frankfort, in 46041, usa",46041
158,-86.7013894,41.5939193,"la porte, in 46350, usa",46350
159,-86.1853474,39.8878841,"indianapolis, in 46260, usa",46260
160,-87.1722037,41.596455,"portage, in 46368, usa",46368
161,-87.202099,39.1417109,"jasonville, in 47438, usa",47438
162,-85.3702359,39.9289601,"new castle, in 47362, usa",47362
163,-86.9624086,38.4247341,"jasper, in 47546, usa",47546
164,-86.1344697,38.2109599,"corydon, in 47112, usa",47112
165,-87.4405786,39.685614,"clinton, in 47842, usa",47842
166,-85.0545197,41.1046501,"fort wayne, in 46815, usa",46815
167,-85.3032811,41.0547294,"fort wayne, in 46814, usa",46814
168,-86.761749,40.7718746,"monticello, in 47960, usa",47960
169,-86.5198651,38.7479896,"mitchell, in 47446, usa",47446
170,-86.0529604,38.6285426,"salem, in 47167, usa",47167
171,-86.1242881,39.6801674,"indianapolis, in 46227, usa",46227
172,-87.6778378,37.9344448,"evansville, in 47712, usa",47712
173,-86.0427626,39.7803581,"indianapolis, in 46219, usa",46219
174,-86.0529604,38.6285426,"salem, in 47167, usa",47167
175,-87.1223362,41.4654036,"valparaiso, in 46385, usa",46385
176,-85.1479364,39.5920377,"connersville, in 47331, usa",47331
177,-86.4592091,38.5576546,"paoli, in 47454, usa",47454
178,-86.0427626,39.7803581,"indianapolis, in 46219, usa",46219
179,-85.1686743,40.8779373,"ossian, in 46777, usa",46777
180,-86.2463337,39.6841663,"indianapolis, in 46221, usa",46221
181,-86.4086061,39.7716518,"avon, in 46123, usa",46123
182,-87.1727704,38.6591849,"washington, in 47501, usa",47501
183,-87.9530849,37.9395358,"mt vernon, in 47620, usa",47620
184,-85.3756249,41.6479501,"lagrange, in 46761, usa",46761
185,-86.8822445,41.6985831,"michigan city, in 46360, usa",46360
186,-87.6383797,38.0606668,"evansville, in 47720, usa",47720
187,-85.1220031,41.1024994,"fort wayne, in 46805, usa",46805
188,-85.9917437,41.6312177,"elkhart, in 46517, usa",46517
189,-85.4788065,39.3574436,"greensburg, in 47240, usa",47240
190,-87.3612205,37.9701535,"newburgh, in 47630, usa",47630
191,-86.3478151,41.6530149,"south bend, in 46619, usa",46619
192,-85.1738576,41.0644747,"fort wayne, in 46802, usa",46802
193,-85.7461548,39.9649727,"pendleton, in 46064, usa",46064
194,-87.311553,39.465825,"terre haute, in 47803, usa",47803
195,-85.1375645,40.9673499,"fort wayne, in 46819, usa",46819
196,-87.3214908,38.4755039,"petersburg, in 47567, usa",47567
197,-87.3214908,41.4701989,"merrillville, in 46410, usa",46410
198,-87.0024407,38.1729722,"dale, in 47523, usa",47523
199,-85.2101269,41.1614273,"fort wayne, in 46818, usa",46818
200,-86.1548269,40.50995,"kokomo, in 46901, usa",46901
201,-86.438974,38.1572869,"leavenworth, in 47137, usa",47137
202,-87.913867,38.1081439,"new harmony, in 47631, usa",47631
203,-85.1686743,40.7163045,"bluffton, in 46714, usa",46714
204,-86.9223432,38.6755182,"loogootee, in 47553, usa",47553
205,-87.3214908,38.4755039,"petersburg, in 47567, usa",47567
206,-86.2361744,40.1456899,"sheridan, in 46069, usa",46069
207,-85.8895551,38.9572194,"seymour, in 47274, usa",47274
208,-86.4592091,40.0503732,"lebanon, in 46052, usa",46052
209,-86.2158497,41.0983022,"rochester, in 46975, usa",46975
210,-85.9508923,40.0542448,"noblesville, in 46060, usa",46060
211,-86.3224638,39.712347,"indianapolis, in 46231, usa",46231
212,-86.681253,38.0376196,"tell city, in 47586, usa",47586
213,-86.3782198,40.7807397,"logansport, in 46947, usa",46947
214,-84.8776392,41.4274838,"butler, in 46721, usa",46721
215,-85.1479364,39.5920377,"connersville, in 47331, usa",47331
216,-86.4794359,38.8721597,"bedford, in 47421, usa",47421
217,-86.2260131,39.8070137,"indianapolis, in 46222, usa",46222
218,-87.5741877,38.0223462,"evansville, in 47710, usa",47710
219,-85.2929384,41.4452015,"kendallville, in 46755, usa",46755
220,-85.3859519,40.2681398,"muncie, in 47303, usa",47303
221,-86.9223432,40.0430746,"crawfordsville, in 47933, usa",47933
222,-86.9624086,40.4932743,"west lafayette, in 47906, usa",47906
223,-86.4592091,40.0503732,"lebanon, in 46052, usa",46052
224,-86.0529604,40.770099,"peru, in 46970, usa",46970
225,-86.1242881,39.6801674,"indianapolis, in 46227, usa",46227
226,-86.1650024,39.6196709,"greenwood, in 46142, usa",46142
227,-87.1622344,39.0575061,"linton, in 47441, usa",47441
228,-85.8281458,38.683571,"scottsburg, in 47170, usa",47170
229,-86.9223432,40.0430746,"crawfordsville, in 47933, usa",47933
230,-87.485158,41.6784627,"whiting, in 46394, usa",46394
231,-85.7871663,39.1823914,"columbus, in 47203, usa",47203
232,-87.3959564,39.4935989,"terre haute, in 47804, usa",47804
233,-85.3756249,38.8337651,"madison, in 47250, usa",47250
234,-86.1599149,39.7379842,"indianapolis, in 46225, usa",46225
235,-86.2158497,41.0983022,"rochester, in 46975, usa",46975
236,-85.2929384,40.274595,"albany, in 47320, usa",47320
237,-85.1479364,39.5920377,"connersville, in 47331, usa",47331
238,-86.7013894,41.0326638,"winamac, in 46996, usa",46996
239,-86.1344697,38.2109599,"corydon, in 47112, usa",47112
240,-86.0325629,39.4810288,"franklin, in 46131, usa",46131
241,-85.3859519,40.2681398,"muncie, in 47303, usa",47303
242,-85.4974177,40.8830771,"huntington, in 46750, usa",46750
243,-85.2411958,41.0521864,"fort wayne, in 46804, usa",46804
244,-87.4207518,41.2922034,"lowell, in 46356, usa",46356
245,-85.0025539,41.6323583,"angola, in 46703, usa",46703
246,-85.7051116,40.5347721,"marion, in 46953, usa",46953
247,-87.4703029,41.5434996,"highland, in 46322, usa",46322
248,-85.3702359,39.9289601,"new castle, in 47362, usa",47362
249,-87.1727704,38.6591849,"washington, in 47501, usa",47501
250,-85.1271907,38.781935,"vevay, in 47043, usa",47043
251,-87.1821709,39.7414762,"rockville, in 47872, usa",47872
252,-87.4207518,39.0843122,"sullivan, in 47882, usa",47882
253,-87.2419299,41.5083014,"hobart, in 46342, usa",46342
254,-85.7871663,39.1823914,"columbus, in 47203, usa",47203
255,-86.2361744,39.8998074,"indianapolis, in 46268, usa",46268
256,-84.9193082,40.6651367,"berne, in 46711, usa",46711
257,-86.1548269,41.4771788,"bremen, in 46506, usa",46506
258,-85.116815,41.1474763,"fort wayne, in 46825, usa",46825
259,-86.9223432,40.0430746,"crawfordsville, in 47933, usa",47933
260,-86.9624086,38.4247341,"jasper, in 47546, usa",47546
261,-85.116815,41.1474763,"fort wayne, in 46825, usa",46825
262,-84.9609464,39.4396145,"brookville, in 47012, usa",47012
263,-84.8984775,39.8282551,"richmond, in 47374, usa",47374
264,-85.2929384,41.4452015,"kendallville, in 46755, usa",46755
265,-84.9193082,38.9399237,"rising sun, in 47040, usa",47040
266,-87.4009165,39.3539395,"terre haute, in 47802, usa",47802
267,-85.4994192,40.0376228,"middletown, in 47356, usa",47356
268,-86.2158497,39.2178297,"nashville, in 47448, usa",47448
269,-85.8690933,38.2651542,"new albany, in 47150, usa",47150
