"","lon","lat","address","ZIP"
"1",-94.1718542,36.2989178,"rogers, ar 72758, usa","72758"
"2",-92.9775558,34.5166906,"hot springs national park, ar 71901, usa","71901"
"3",-94.0388918,36.1192532,"fayetteville, ar 72703, usa","72703"
"4",-90.7722974,35.8037083,"jonesboro, ar 72404, usa","72404"
"5",-93.2181477,33.262231,"magnolia, ar 71753, usa","71753"
"6",-94.3359635,35.4662541,"van buren, ar 72956, usa","72956"
"7",-91.3469247,33.6326542,"mcgehee, ar 71654, usa","71654"
"8",-91.7344155,35.2244528,"searcy, ar 72143, usa","72143"
"9",-92.9775558,34.5166906,"hot springs national park, ar 71901, usa","71901"
"10",-94.2128337,36.4704514,"bella vista, ar 72714, usa","72714"
"11",-91.7441475,36.21788,"horseshoe bend, ar 72512, usa","72512"
"12",-91.6566377,35.7948136,"batesville, ar 72501, usa","72501"
"13",-92.1176653,35.8684284,"mountain view, ar 72560, usa","72560"
"14",-92.7381672,35.1400607,"morrilton, ar 72110, usa","72110"
"15",-91.5789994,35.970208,"cave city, ar 72521, usa","72521"
"16",-92.7381672,35.1400607,"morrilton, ar 72110, usa","72110"
"17",-90.8675134,36.1296855,"walnut ridge, ar 72476, usa","72476"
"18",-92.2728877,35.5991375,"fairfield bay, ar 72088, usa","72088"
"19",-91.6178011,36.2304968,"ash flat, ar 72513, usa","72513"
"20",-90.8675134,35.2557006,"wynne, ar 72396, usa","72396"
"21",-92.0077316,35.4396562,"heber springs, ar 72543, usa","72543"
"22",-92.341887,36.283619,"mountain home, ar 72653, usa","72653"
"23",-91.8708613,33.9162518,"star city, ar 71667, usa","71667"
"24",-90.8675134,35.2557006,"wynne, ar 72396, usa","72396"
"25",-94.2128337,36.1675026,"springdale, ar 72762, usa","72762"
"26",-93.2784825,35.4995171,"lamar, ar 72846, usa","72846"
"27",-90.4879916,36.044855,"paragould, ar 72450, usa","72450"
"28",-91.4821482,33.4743692,"dermott, ar 71638, usa","71638"
"29",-92.8178291,33.5408717,"camden, ar 71701, usa","71701"
"30",-91.7538817,33.6946684,"monticello, ar 71655, usa","71655"
"31",-91.3276422,34.2794494,"dewitt, ar 72042, usa","72042"
"32",-90.2057108,36.4146125,"piggott, ar 72454, usa","72454"
"33",-93.8655303,34.048116,"nashville, ar 71852, usa","71852"
"34",-93.3792057,33.7950246,"prescott, ar 71857, usa","71857"
"35",-92.5792482,33.1872424,"el dorado, ar 71730, usa","71730"
"36",-92.3616203,35.0819701,"conway, ar 72032, usa","72032"
"37",-91.2506002,33.3872223,"lake village, ar 71653, usa","71653"
"38",-93.2181477,33.262231,"magnolia, ar 71753, usa","71753"
"39",-92.8178291,33.5408717,"camden, ar 71701, usa","71701"
"40",-92.027319,33.1074892,"crossett, ar 71635, usa","71635"
"41",-92.9975593,34.6268402,"hot springs village, ar 71909, usa","71909"
"42",-93.0576199,36.1807833,"harrison, ar 72601, usa","72601"
"43",-93.8858955,33.444928,"texarkana, ar 71854, usa","71854"
"44",-90.1963364,35.1377209,"west memphis, ar 72301, usa","72301"
"45",-92.0077316,35.4396562,"heber springs, ar 72543, usa","72543"
"46",-93.0576199,36.1807833,"harrison, ar 72601, usa","72601"
"47",-92.3542193,34.7486563,"little rock, ar 72205, usa","72205"
"48",-92.6090043,34.4918643,"benton, ar 72015, usa","72015"
"49",-92.1057549,33.6444761,"warren, ar 71671, usa","71671"
"50",-92.2482705,34.8030992,"north little rock, ar 72116, usa","72116"
"51",-91.6566377,35.7948136,"batesville, ar 72501, usa","72501"
"52",-92.8178291,33.5408717,"camden, ar 71701, usa","71701"
"53",-92.0469151,34.9555346,"cabot, ar 72023, usa","72023"
"54",-91.7344155,35.2244528,"searcy, ar 72143, usa","72143"
